Model                           ,Accuracy           ,Precision          ,Recall             ,F1                 ,Total Time
Logistic Regression             ,0.9408136372557265 ,0.9412592821568221 ,0.9408136372557265 ,0.9404167682406657 , 216.11823964118958
Gaussian Naive Bayes            ,0.6969747946280875 ,0.7764373376601176 ,0.6969747946280875 ,0.6650074253110474 ,   0.03100299835205078
Linear Discriminant Analysis    ,0.8197493481369333 ,0.8324422158807082 ,0.8197493481369333 ,0.8179441598024549 ,   0.09500002861022949
Quadratic Discriminant Analysis ,0.95127148344408   ,0.9516956883730706 ,0.95127148344408   ,0.951418011931255  ,   0.09500002861022949
K Nearest Neighbours            ,0.9658227493200998 ,0.9659965910319904 ,0.9658227493200998 ,0.9657634777572255 ,   0.010999679565429688
Decision Tree                   ,0.9779628227773572 ,0.978078535182387  ,0.9779628227773572 ,0.9779638635849447 ,   0.010999679565429688
Random Forest                   ,0.9808226091       ,0.9809009376       ,0.9808226091       ,0.9808122909       ,  75.5828888416
XGBoost                         ,0.9825889477668432 ,0.9826511176247853 ,0.9825889477668432 ,0.9825953341016903 ,   9.378684282302856
SVM_by_f1                       ,0.97493481369333   ,0.9751266778346365 ,0.97493481369333   ,0.9749059422750842 , 102.42751336097717
SVM_by_time                     ,0.9721311015784899 ,0.9722945493662281 ,0.9721311015784899 ,0.9720877910242802 ,  51.291786909103394
NN_by_f1                        ,0.9776824515658732 ,0.9777040969777866 ,0.9776824515658732 ,0.9776524457133821 ,4009.658669948578
NN_by_time                      ,0.9738413659685423 ,0.9738979674361228 ,0.9738413659685423 ,0.9738030625848121 , 227.5272889137268
CNN                             ,0.9729161409706452 ,0.9728573595094024 ,0.9729161409706452 ,0.9728553272450002 ,1291.6764447689056
